"","Country","date","total_cases","new_cases","total_cases_per_million","new_cases_per_million","total_deaths","new_deaths","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","population_size","hospital_beds_per_100k","Obesity_rate","Median_Age","gdp_estimate_ppp","age_adjusted_risk","area","Density_km","Inequality_spatial_transformed","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","StringencyIndex","LegacyStringencyIndex","days_since_outbreak","days_since_deaths_crossed_0.1_per_million","days_since_10_deaths","gov_response_at_0.1_deaths_per_million","deaths_5_day_averages","infections_5_day_averages","peak_deaths_already_occurred_indicator","peak_cases_already_occurred_indicator"
"5961","Latvia",2020-03-21,111,25,58.848,13.254,0,0,0,0,5762,1389,3.055,0.736,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,-14,-33,NA,0,8.4826,1,1
"5962","Latvia",2020-03-22,124,13,65.741,6.892,0,0,0,0,6573,811,3.485,0.43,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,-13,-32,NA,0,9.3308,1,1
"5963","Latvia",2020-03-23,139,15,73.693,7.952,0,0,0,0,7758,1185,4.113,0.628,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,-12,-31,NA,0,8.2704,1,1
"5964","Latvia",2020-03-24,180,41,95.43,21.737,0,0,0,0,8645,887,4.583,0.47,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,-11,-30,NA,0,11.5574,1,1
"5965","Latvia",2020-03-25,197,17,104.443,9.013,0,0,0,0,9796,1151,5.194,0.61,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,-10,-29,NA,0,11.7696,1,1
"5966","Latvia",2020-03-26,221,24,117.167,12.724,0,0,0,0,10613,817,5.627,0.433,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,-9,-28,NA,0,11.6636,1,1
"5967","Latvia",2020-03-27,244,23,129.36,12.194,0,0,0,0,11702,1089,6.204,0.577,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,-8,-27,NA,0,12.724,1,1
"5968","Latvia",2020-03-28,280,36,148.446,19.086,0,0,0,0,12748,1046,6.759,0.555,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,-7,-26,NA,0,14.9508,1,1
"5969","Latvia",2020-03-29,305,25,161.701,13.254,0,0,0,0,13805,1057,7.319,0.56,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,-6,-25,NA,0,13.2542,1,1
"5970","Latvia",2020-03-30,376,71,199.342,37.642,0,0,0,0,14307,502,7.585,0.266,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,-5,-24,NA,0,18.98,1,1
